0.283,-80.0505
0.284,-79.8875
0.285,-79.724
0.286,-79.5599
0.287,-79.3952
0.288,-79.2299
0.289,-79.0642
0.29,-78.898
0.291,-78.7313
0.292,-78.5642
0.293,-78.3967
0.294,-78.2288
0.295,-78.0606
0.296,-77.892
0.297,-77.7231
0.298,-77.5539
0.299,-77.3845
0.3,-77.2147
0.301,-77.0448
0.302,-76.8746
0.303,-76.7043
0.304,-76.5338
0.305,-76.3631
0.306,-76.1924
0.307,-76.0214
0.308,-75.8504
0.309,-75.6794
0.31,-75.5082
0.311,-75.337
0.312,-75.1658
0.313,-74.9946
0.314,-74.8234
0.315,-74.6522
0.316,-74.481
0.317,-74.3099
0.318,-74.1388
0.319,-73.9678
0.32,-73.7969
0.321,-73.6261
0.322,-73.4554
0.323,-73.2849
0.324,-73.1145
0.325,-72.9442
0.326,-72.7741
0.327,-72.6042
0.328,-72.4344
0.329,-72.2649
0.33,-72.0956
0.331,-71.9264
0.332,-71.7576
0.333,-71.5889
0.334,-71.4205
0.335,-71.2523
0.336,-71.0845
0.337,-70.9169
0.338,-70.7495
0.339,-70.5825
0.34,-70.4158
0.341,-70.2493
0.342,-70.0832
0.343,-69.9174
0.344,-69.7519
0.345,-69.5868
0.346,-69.422
0.347,-69.2576
0.348,-69.0935
0.349,-68.9298
0.35,-68.7664
0.351,-68.6034
0.352,-68.4408
0.353,-68.2786
0.354,-68.1168
0.355,-67.9553
0.356,-67.7943
0.357,-67.6336
0.358,-67.4734
0.359,-67.3136
0.36,-67.1542
0.361,-66.9952
0.362,-66.8366
0.363,-66.6785
0.364,-66.5208
0.365,-66.3635
0.366,-66.2067
0.367,-66.0503
0.368,-65.8944
0.369,-65.7389
0.37,-65.5839
0.371,-65.4293
0.372,-65.2751
0.373,-65.1215
0.374,-64.9683
0.375,-64.8155
0.376,-64.6632
0.377,-64.5114
0.378,-64.3601
0.379,-64.2092
0.38,-64.0588
0.381,-63.9088
0.382,-63.7594
0.383,-63.6104
0.384,-63.4619
0.385,-63.3139
0.386,-63.1663
0.387,-63.0193
0.388,-62.8727
0.389,-62.7266
0.39,-62.581
0.391,-62.4358
0.392,-62.2912
0.393,-62.147
0.394,-62.0033
0.395,-61.8602
0.396,-61.7175
0.397,-61.5753
0.398,-61.4335
0.399,-61.2923
0.4,-61.1515
0.401,-61.0113
0.402,-60.8715
0.403,-60.7322
0.404,-60.5934
0.405,-60.4551
0.406,-60.3173
0.407,-60.1799
0.408,-60.0431
0.409,-59.9067
0.41,-59.7708
0.411,-59.6354
0.412,-59.5005
0.413,-59.3661
0.414,-59.2322
0.415,-59.0987
0.416,-58.9657
0.417,-58.8332
0.418,-58.7012
0.419,-58.5697
0.42,-58.4386
0.421,-58.308
0.422,-58.1779
0.423,-58.0483
0.424,-57.9191
0.425,-57.7905
0.426,-57.6623
0.427,-57.5345
0.428,-57.4073
0.429,-57.2805
0.43,-57.1541
0.431,-57.0283
0.432,-56.9029
0.433,-56.778
0.434,-56.6535
0.435,-56.5295
0.436,-56.4059
0.437,-56.2829
0.438,-56.1602
0.439,-56.0381
0.44,-55.9164
0.441,-55.7951
0.442,-55.6743
0.443,-55.554
0.444,-55.4341
0.445,-55.3146
0.446,-55.1956
0.447,-55.077
0.448,-54.9589
0.449,-54.8413
0.45,-54.724
0.451,-54.6072
0.452,-54.4909
0.453,-54.375
0.454,-54.2595
0.455,-54.1444
0.456,-54.0298
0.457,-53.9156
0.458,-53.8019
0.459,-53.6886
0.46,-53.5757
0.461,-53.4632
0.462,-53.3511
0.463,-53.2395
0.464,-53.1283
0.465,-53.0175
0.466,-52.9071
0.467,-52.7971
0.468,-52.6876
0.469,-52.5784
0.47,-52.4697
0.471,-52.3614
0.472,-52.2534
0.473,-52.1459
0.474,-52.0388
0.475,-51.9321
0.476,-51.8258
0.477,-51.7199
0.478,-51.6143
0.479,-51.5092
0.48,-51.4045
0.481,-51.3001
0.482,-51.1962
0.483,-51.0926
0.484,-50.9895
0.485,-50.8867
0.486,-50.7843
0.487,-50.6822
0.488,-50.5806
0.489,-50.4793
0.49,-50.3784
0.491,-50.2779
0.492,-50.1777
0.493,-50.078
0.494,-49.9786
0.495,-49.8795
0.496,-49.7808
0.497,-49.6825
0.498,-49.5846
0.499,-49.487
0.5,-49.3898
0.501,-49.2929
0.502,-49.1964
0.503,-49.1003
0.504,-49.0045
0.505,-48.909
0.506,-48.8139
0.507,-48.7192
0.508,-48.6248
0.509,-48.5307
0.51,-48.437
0.511,-48.3436
0.512,-48.2506
0.513,-48.1579
0.514,-48.0655
0.515,-47.9735
0.516,-47.8818
0.517,-47.7905
0.518,-47.6995
0.519,-47.6088
0.52,-47.5184
0.521,-47.4284
0.522,-47.3387
0.523,-47.2493
0.524,-47.1602
0.525,-47.0715
0.526,-46.9831
0.527,-46.895
0.528,-46.8072
0.529,-46.7197
0.53,-46.6325
0.531,-46.5457
0.532,-46.4591
0.533,-46.3729
0.534,-46.287
0.535,-46.2014
0.536,-46.116
0.537,-46.031
0.538,-45.9463
0.539,-45.8619
0.54,-45.7778
0.541,-45.694
0.542,-45.6105
0.543,-45.5272
0.544,-45.4443
0.545,-45.3617
0.546,-45.2793
0.547,-45.1972
0.548,-45.1155
0.549,-45.034
0.55,-44.9528
0.551,-44.8719
0.552,-44.7912
0.553,-44.7109
0.554,-44.6308
0.555,-44.551
0.556,-44.4715
0.557,-44.3922
0.558,-44.3133
0.559,-44.2346
0.56,-44.1561
0.561,-44.078
0.562,-44.0001
0.563,-43.9225
0.564,-43.8451
0.565,-43.768
0.566,-43.6912
0.567,-43.6146
0.568,-43.5383
0.569,-43.4623
0.57,-43.3865
0.571,-43.311
0.572,-43.2357
0.573,-43.1607
0.574,-43.0859
0.575,-43.0114
0.576,-42.9372
0.577,-42.8632
0.578,-42.7894
0.579,-42.7159
0.58,-42.6427
0.581,-42.5696
0.582,-42.4969
0.583,-42.4243
0.584,-42.3521
0.585,-42.28
0.586,-42.2082
0.587,-42.1367
0.588,-42.0653
0.589,-41.9942
0.59,-41.9234
0.591,-41.8528
0.592,-41.7824
0.593,-41.7122
0.594,-41.6423
0.595,-41.5726
0.596,-41.5032
0.597,-41.4339
0.598,-41.3649
0.599,-41.2961
0.6,-41.2276
0.601,-41.1592
0.602,-41.0911
0.603,-41.0232
0.604,-40.9556
0.605,-40.8881
0.606,-40.8209
0.607,-40.7539
0.608,-40.6871
0.609,-40.6205
0.61,-40.5541
0.611,-40.488
0.612,-40.4221
0.613,-40.3563
0.614,-40.2908
0.615,-40.2255
0.616,-40.1604
0.617,-40.0955
0.618,-40.0308
0.619,-39.9663
0.62,-39.9021
0.621,-39.838
0.622,-39.7741
0.623,-39.7105
0.624,-39.647
0.625,-39.5837
0.626,-39.5207
0.627,-39.4578
0.628,-39.3952
0.629,-39.3327
0.63,-39.2704
0.631,-39.2083
0.632,-39.1464
0.633,-39.0847
0.634,-39.0232
0.635,-38.9619
0.636,-38.9008
0.637,-38.8399
0.638,-38.7792
0.639,-38.7186
0.64,-38.6582
0.641,-38.5981
0.642,-38.5381
0.643,-38.4783
0.644,-38.4186
0.645,-38.3592
0.646,-38.2999
0.647,-38.2408
0.648,-38.1819
0.649,-38.1232
0.65,-38.0647
0.651,-38.0063
0.652,-37.9481
0.653,-37.8901
0.654,-37.8323
0.655,-37.7746
0.656,-37.7172
0.657,-37.6598
0.658,-37.6027
0.659,-37.5457
0.66,-37.489
0.661,-37.4323
0.662,-37.3759
0.663,-37.3196
0.664,-37.2635
0.665,-37.2075
0.666,-37.1517
0.667,-37.0961
0.668,-37.0407
0.669,-36.9854
0.67,-36.9303
0.671,-36.8753
0.672,-36.8205
0.673,-36.7659
0.674,-36.7114
0.675,-36.6571
0.676,-36.6029
0.677,-36.5489
0.678,-36.4951
0.679,-36.4414
0.68,-36.3879
0.681,-36.3345
0.682,-36.2813
0.683,-36.2282
0.684,-36.1753
0.685,-36.1226
0.686,-36.07
0.687,-36.0175
0.688,-35.9653
0.689,-35.9131
0.69,-35.8611
0.691,-35.8093
0.692,-35.7576
0.693,-35.706
0.694,-35.6546
0.695,-35.6034
0.696,-35.5523
0.697,-35.5013
0.698,-35.4505
0.699,-35.3999
0.7,-35.3493
0.701,-35.2989
0.702,-35.2487
0.703,-35.1986
0.704,-35.1487
0.705,-35.0988
0.706,-35.0492
0.707,-34.9996
0.708,-34.9503
0.709,-34.901
0.71,-34.8519
0.711,-34.8029
0.712,-34.7541
0.713,-34.7054
0.714,-34.6568
0.715,-34.6084
